food_type,storage_type,package_type,sample_count,median_days,conservative_days,min_days,max_days,source_level
가공두유,실온,밀봉포장,5,426.0,366.0,364.0,554.0,fine
가공버터,냉장,밀봉포장,5,309.0,278.0,244.0,464.0,fine
가공유,냉장,밀봉포장,12,26.0,23.0,21.0,360.0,fine
가공유,실온,,1,180.0,180.0,180.0,180.0,low_confidence
가공유크림,냉장,,2,44.0,28.5,13.0,75.0,low_confidence
가공유크림,실온,,2,664.0,664.0,664.0,664.0,low_confidence
가공치즈,냉장,,7,278.0,277.5,128.0,294.0,coarse
간편조리세트,냉동,,1,589.0,589.0,589.0,589.0,low_confidence
간편조리세트,냉장,밀봉포장,19,8.0,7.0,7.0,14.0,fine
간편조리세트,냉장,밀봉포장/ 진공포장,30,7.0,7.0,6.0,12.0,fine
간편조리세트,냉장,,51,7.0,7.0,6.0,14.0,coarse
갈비가공품,냉동,,4,708.0,618.75,351.0,708.0,low_confidence
갈비가공품,냉장,,1,61.0,61.0,61.0,61.0,low_confidence
강화우유,냉장,,1,23.0,23.0,23.0,23.0,low_confidence
건어포,냉동,,1,349.0,349.0,349.0,349.0,low_confidence
건어포,상온,,1,591.0,591.0,591.0,591.0,low_confidence
건어포,실온,,2,664.0,664.0,664.0,664.0,low_confidence
고추씨기름,실온,,2,621.5,600.25,579.0,664.0,low_confidence
고춧가루,실온,,3,497.0,497.0,497.0,580.0,low_confidence
고형차,상온,,1,620.0,620.0,620.0,620.0,low_confidence
고형차,실온,,2,664.0,664.0,664.0,664.0,low_confidence
곡류가공품,냉장,,1,45.0,45.0,45.0,45.0,low_confidence
곡류가공품,상온,밀봉포장,8,591.0,535.5,369.0,591.0,fine
곡류가공품,상온,,9,591.0,369.0,369.0,591.0,coarse
곡류가공품,실온,밀봉포장,9,664.0,497.0,333.0,693.0,fine
과.채가공품,냉장,일반포장,7,10.0,9.0,8.0,13.0,fine
과.채가공품,냉장,진공포장,6,7.0,7.0,7.0,9.0,fine
과·채가공품,냉장,진공포장,13,9.0,7.0,7.0,23.0,fine
과·채음료,실온,,2,419.0,419.0,419.0,419.0,low_confidence
과･채가공품,냉장,밀봉포장,9,7.0,7.0,6.0,30.0,fine
과･채가공품,냉장,일반포장,5,10.0,7.0,7.0,15.0,fine
과･채가공품,냉장,,16,7.0,7.0,5.0,30.0,coarse
과･채가공품,실온,,3,664.0,440.0,216.0,693.0,low_confidence
과･채음료,냉장,밀봉포장,10,5.0,4.25,3.0,160.0,fine
과･채음료,실온,,1,366.0,366.0,366.0,366.0,low_confidence
과･채주스,냉장,밀봉포장,8,49.0,48.25,32.0,130.0,fine
과･채주스,냉장,,9,49.0,46.0,32.0,130.0,coarse
과･채주스,실온,,1,519.0,519.0,519.0,519.0,low_confidence
기타 건포류,상온,,1,591.0,591.0,591.0,591.0,low_confidence
기타 건포류,실온,,2,664.0,664.0,664.0,664.0,low_confidence
기타 농산가공품,냉장,,3,281.0,281.0,281.0,281.0,low_confidence
기타 농산가공품,상온,,2,457.0,375.5,294.0,620.0,low_confidence
기타 농산가공품,실온,밀봉포장,8,468.5,245.5,142.0,722.0,fine
기타 식용유지가공품,실온,,3,664.0,664.0,664.0,664.0,low_confidence
기타 어육가공품,냉장,,1,92.0,92.0,92.0,92.0,low_confidence
기타 어육가공품,실온,,1,664.0,664.0,664.0,664.0,low_confidence
기타 코코아가공품,실온,,1,664.0,664.0,664.0,664.0,low_confidence
기타발효음료,냉장,,3,145.0,77.5,10.0,649.0,low_confidence
기타발효음료,상온,,1,649.0,649.0,649.0,649.0,low_confidence
기타식물성유지,냉장,,2,463.0,384.5,306.0,620.0,low_confidence
기타식물성유지,상온,,1,591.0,591.0,591.0,591.0,low_confidence
기타식물성유지,실온,,2,622.0,601.0,580.0,664.0,low_confidence
기타엿,실온,,2,158.0,133.5,109.0,207.0,low_confidence
기타환자용 영양조제식품,실온,,1,302.0,302.0,302.0,302.0,low_confidence
김치,냉장,밀봉포장,12,35.0,34.0,31.0,40.0,fine
김치,냉장,,16,35.0,35.0,31.0,41.0,coarse
김치,실온,,1,347.0,347.0,347.0,347.0,low_confidence
김칫속,냉장,일반포장,5,17.0,17.0,9.0,62.0,fine
난백액,냉장,,1,4.12,4.12,4.12,4.12,low_confidence
난황액,냉장,,1,4.12,4.12,4.12,4.12,low_confidence
농후발효유,냉장,밀봉포장,25,22.0,19.0,10.0,52.0,fine
농후발효유,냉장,,26,22.0,19.0,10.0,52.0,coarse
당뇨환자용 식단형 식품,냉동,,1,708.0,708.0,708.0,708.0,low_confidence
당뇨환자용 영양조제식품,실온,,3,547.0,485.5,424.0,547.0,low_confidence
당절임,냉장,,2,92.0,61.5,31.0,153.0,low_confidence
당절임,상온,,1,620.0,620.0,620.0,620.0,low_confidence
두류가공품,냉동,,2,261.5,217.75,174.0,349.0,low_confidence
두류가공품,냉장,밀봉포장,8,21.0,19.5,7.0,620.0,fine
두류가공품,냉장,,9,21.0,18.0,7.0,620.0,coarse
두류가공품,실온,밀봉포장,6,664.0,664.0,580.0,664.0,fine
들기름,냉장,,1,620.0,620.0,620.0,620.0,low_confidence
들기름,상온,,1,591.0,591.0,591.0,591.0,low_confidence
들기름,실온,밀봉포장,9,664.0,664.0,496.0,664.0,fine
땅콩 또는 견과류가공품,냉장,,1,154.0,154.0,154.0,154.0,low_confidence
땅콩 또는 견과류가공품,실온,밀봉포장,17,664.0,664.0,218.0,693.0,fine
마가린,상온,,2,479.5,461.25,443.0,516.0,low_confidence
마요네즈,냉장,,1,217.0,217.0,217.0,217.0,low_confidence
마요네즈,실온,,4,344.0,315.75,231.0,399.0,low_confidence
만두,냉동,밀봉포장,5,527.0,525.0,523.0,533.0,fine
만두,냉장,,2,10.0,9.5,9.0,11.0,low_confidence
만두피,냉동,,1,529.0,529.0,529.0,529.0,low_confidence
만두피,냉장,,4,41.0,34.75,16.0,97.0,low_confidence
맥주,냉장,,4,404.5,160.0,160.0,649.0,low_confidence
물엿,냉장,,1,320.0,320.0,320.0,320.0,low_confidence
물엿,실온,,3,329.0,328.0,327.0,693.0,low_confidence
밀가루,상온,,1,591.0,591.0,591.0,591.0,low_confidence
밀가루,실온,,1,664.0,664.0,664.0,664.0,low_confidence
밀크초콜릿,상온,,1,591.0,591.0,591.0,591.0,low_confidence
발효소시지,냉동,,1,355.0,355.0,355.0,355.0,low_confidence
발효소시지,냉장,,1,210.0,210.0,210.0,210.0,low_confidence
발효식초,실온,,1,722.0,722.0,722.0,722.0,low_confidence
발효유,냉장,밀봉포장,15,26.0,23.5,18.0,32.0,fine
버터,냉장,,1,197.0,197.0,197.0,197.0,low_confidence
복합조미식품,상온,,2,618.0,618.0,618.0,618.0,low_confidence
복합조미식품,실온,,4,414.0,414.0,414.0,664.0,low_confidence
분쇄가공육제품,냉동,밀봉포장,6,618.5,527.5,355.0,708.0,fine
분쇄가공육제품,냉동,,7,708.0,528.0,355.0,708.0,coarse
분쇄가공육제품,냉장,,5,13.0,11.0,8.0,72.0,coarse
비유지방아이스크림믹스,실온,,1,196.0,196.0,196.0,196.0,low_confidence
생식제품,실온,,1,662.0,662.0,662.0,662.0,low_confidence
생식함유제품,실온,,2,645.5,644.75,644.0,647.0,low_confidence
생햄,냉장,,4,69.0,69.0,69.0,140.0,low_confidence
샤베트믹스,실온,,1,196.0,196.0,196.0,196.0,low_confidence
서류가공품,냉동,,4,618.5,528.5,527.0,708.0,low_confidence
서류가공품,냉장,,2,26.5,15.75,5.0,48.0,low_confidence
서류가공품,상온,,3,145.0,121.0,97.0,591.0,low_confidence
서류가공품,실온,,5,497.0,333.0,249.0,664.0,coarse
선천성대사질환자용조제식품,실온,,1,249.0,249.0,249.0,249.0,low_confidence
소스,냉장,밀봉포장,20,315.5,165.25,35.0,649.0,fine
소스,실온,밀봉포장,9,541.0,475.0,239.0,693.0,fine
소시지,냉동,,1,708.0,708.0,708.0,708.0,low_confidence
소시지,냉장,진공포장,16,34.0,19.0,14.0,92.0,fine
소시지,냉장,,18,34.0,23.5,14.0,92.0,coarse
소시지,실온,,1,180.0,180.0,180.0,180.0,low_confidence
쇼트닝,상온,,2,441.0,366.0,291.0,591.0,low_confidence
식물성크림,냉장,,2,9.5,9.25,9.0,10.0,low_confidence
식물성크림,실온,,2,664.0,664.0,664.0,664.0,low_confidence
식용돈지,실온,,1,664.0,664.0,664.0,664.0,low_confidence
식용우지,실온,,1,664.0,664.0,664.0,664.0,low_confidence
신선편의식품,냉장,밀봉포장,28,6.0,5.0,5.0,10.0,fine
신선편의식품,냉장,일반포장,12,4.0,4.0,4.0,8.0,fine
신선편의식품,냉장,,41,6.0,4.0,4.0,10.0,coarse
신장질환자용 식단형 식품,냉동,,1,708.0,708.0,708.0,708.0,low_confidence
아이스밀크믹스,냉장,,1,13.0,13.0,13.0,13.0,low_confidence
아이스밀크믹스,실온,,1,196.0,196.0,196.0,196.0,low_confidence
아이스크림믹스,냉장,,2,25.0,22.5,20.0,30.0,low_confidence
아이스크림믹스,실온,,1,196.0,196.0,196.0,196.0,low_confidence
알가열제품,냉장,,7,40.0,28.0,20.0,291.0,coarse
알가열제품,상온,,1,16.0,16.0,16.0,16.0,low_confidence
알가열제품,실온,,3,49.0,49.0,49.0,298.0,low_confidence
암환자용 식단형 식품,냉동,,1,708.0,708.0,708.0,708.0,low_confidence
암환자용 영양조제식품,실온,,1,455.0,455.0,455.0,455.0,low_confidence
액상차,냉장,밀봉포장,13,92.0,40.0,9.0,565.0,fine
액상차,상온,,1,620.0,620.0,620.0,620.0,low_confidence
액상차,실온,밀봉포장,13,362.0,313.0,298.0,730.0,fine
야자유,실온,,1,664.0,664.0,664.0,664.0,low_confidence
약주,냉장,밀봉포장,10,320.0,160.0,160.0,649.0,fine
양념육,냉동,,5,708.0,708.0,589.0,708.0,coarse
양념육,냉장,밀봉포장,10,12.0,10.25,4.0,69.0,fine
양념육,냉장,진공포장,10,15.0,12.0,7.0,97.0,fine
양념젓갈,냉장,밀봉포장,11,131.0,131.0,53.0,265.0,fine
양념젓갈,냉장,,12,131.0,131.0,9.0,265.0,coarse
어묵,냉동,,1,706.0,706.0,706.0,706.0,low_confidence
어묵,냉장,,9,16.0,15.0,10.0,61.0,coarse
어육반제품,냉동,,1,174.0,174.0,174.0,174.0,low_confidence
어육살,냉동,,1,708.0,708.0,708.0,708.0,low_confidence
어육소시지,실온,,3,112.0,101.0,90.0,180.0,low_confidence
우유,실온,,4,164.5,131.25,105.0,211.0,low_confidence
원액두유,실온,,1,424.0,424.0,424.0,424.0,low_confidence
유당분해우유,냉장,,1,24.0,24.0,24.0,24.0,low_confidence
유당분해우유,실온,,1,300.0,300.0,300.0,300.0,low_confidence
유산균음료,냉장,,4,37.0,28.75,25.0,71.0,low_confidence
유산균음료,실온,,2,188.0,188.0,188.0,188.0,low_confidence
유청,실온,,1,664.0,664.0,664.0,664.0,low_confidence
유크림,냉장,,3,13.0,11.5,10.0,13.0,low_confidence
음료베이스,실온,,2,496.0,473.5,451.0,541.0,low_confidence
일반환자용 균형영양조제식품,실온,,2,577.0,500.5,424.0,730.0,low_confidence
전란액,냉장,,1,4.0,4.0,4.0,4.0,low_confidence
전분가공품,실온,,1,664.0,664.0,664.0,664.0,low_confidence
절임식품,냉장,밀봉포장,22,48.0,15.25,5.0,323.0,fine
절임식품,냉장,일반포장,26,11.5,8.0,4.0,320.0,fine
젓갈,냉장,,4,532.0,495.75,387.0,532.0,low_confidence
조미건어포,냉장,,1,221.0,221.0,221.0,221.0,low_confidence
조미건어포,실온,밀봉포장,5,414.0,109.0,109.0,664.0,fine
조미액젓,상온,,2,547.0,525.0,503.0,591.0,low_confidence
조미액젓,실온,,1,409.0,409.0,409.0,409.0,low_confidence
즉석섭취식품,냉장,밀봉포장,29,3.79,3.04,1.92,46.0,fine
즉석섭취식품,냉장,일반포장,26,2.25,2.06,1.83,3.96,fine
즉석섭취식품,냉장,,56,2.98,2.17,1.83,46.0,coarse
즉석조리식품,냉동,,2,528.0,527.5,527.0,529.0,low_confidence
즉석조리식품,냉장,밀봉포장,17,19.0,7.0,4.0,281.0,fine
즉석조리식품,냉장,밀봉포장/ 진공포장,8,8.0,8.0,7.0,8.0,fine
즉석조리식품,냉장,일반포장,7,10.0,6.5,5.0,17.0,fine
즉석조리식품,냉장,,36,9.0,7.0,4.0,281.0,coarse
즉석조리식품,실온,,4,362.58,1.17,1.17,730.0,low_confidence
참기름,상온,,1,591.0,591.0,591.0,591.0,low_confidence
참기름,실온,,1,664.0,664.0,664.0,664.0,low_confidence
채종유,실온,,1,664.0,664.0,664.0,664.0,low_confidence
천연향신료,냉장,,5,34.0,31.0,9.0,293.0,coarse
초콜릿,냉장,,3,90.0,69.0,48.0,154.0,low_confidence
초콜릿,상온,,2,183.0,127.5,72.0,294.0,low_confidence
초콜릿가공품,냉장,,4,51.0,47.0,35.0,51.0,low_confidence
초콜릿가공품,상온,,3,296.0,293.5,291.0,589.0,low_confidence
초콜릿가공품,실온,,3,580.0,454.5,329.0,664.0,low_confidence
치즈,냉동,,1,706.0,706.0,706.0,706.0,low_confidence
치즈,냉장,진공포장,13,92.0,46.0,21.0,351.0,fine
치즈,냉장,,16,84.5,46.0,21.0,351.0,coarse
침출차,상온,,1,591.0,591.0,591.0,591.0,low_confidence
침출차,실온,,3,664.0,664.0,664.0,664.0,low_confidence
카레(커리),냉동,,2,382.5,279.25,176.0,589.0,low_confidence
카레(커리),냉장,,1,7.0,7.0,7.0,7.0,low_confidence
코코아매스,상온,,1,591.0,591.0,591.0,591.0,low_confidence
코코아매스,실온,,1,333.0,333.0,333.0,333.0,low_confidence
크림발효유,냉장,,2,34.0,31.0,28.0,40.0,low_confidence
탁주,냉장,밀봉포장,24,75.5,51.25,10.0,267.0,fine
탄산수,실온,,2,410.5,399.25,388.0,433.0,low_confidence
탄산음료,냉장,,1,340.0,340.0,340.0,340.0,low_confidence
탄산음료,실온,,3,541.0,497.0,453.0,722.0,low_confidence
토마토케첩,실온,,3,345.0,345.0,345.0,519.0,low_confidence
프레스햄,냉장,진공포장,9,61.0,40.0,23.0,77.0,fine
프레스햄,냉장,,10,53.5,28.0,23.0,77.0,coarse
햄,냉동,,1,523.0,523.0,523.0,523.0,low_confidence
햄,냉장,진공포장,9,53.0,48.0,11.0,61.0,fine
향미유,실온,밀봉포장,9,664.0,664.0,414.0,664.0,fine
향신료조제품,냉장,,2,254.5,219.25,184.0,325.0,low_confidence
향신료조제품,실온,,3,461.0,437.5,414.0,504.0,low_confidence
혼합분유,실온,,2,606.0,606.0,606.0,606.0,low_confidence
혼합소시지,냉동,,1,349.0,349.0,349.0,349.0,low_confidence
혼합식용유,실온,,1,664.0,664.0,664.0,664.0,low_confidence
혼합음료,냉동,,1,708.0,708.0,708.0,708.0,low_confidence
혼합음료,냉장,,3,148.0,114.0,80.0,336.0,low_confidence
혼합음료,상온,,1,620.0,620.0,620.0,620.0,low_confidence
혼합음료,실온,밀봉포장,8,365.0,346.0,273.0,722.0,fine
홍화유,실온,,1,664.0,664.0,664.0,664.0,low_confidence
